주문자코드(Sold to),건수,배송지(Ship-to) 수,출하RDC,배송지역
2516,122568,428,계룡RDC / 제주RDC / 제천RDC / 칠곡RDC / 평택RDC,강원도 강릉시 / 강원도 동해시 / 강원도 원주시 / 강원도 춘천시 / 강원도 태백시 / 경기도 고양시 덕양구 / 경기도 고양시 일산동구 / 경기도 고양시 일산서구 / 경기도 과천시 / 경기도 광주시 / 경기도 구리시 / 경기도 군포시 / 경기도 김포시 / 경기도 남양주시 / 경기도 동두천시 / 경기도 부천시 원미구 / 경기도 성남시 분당구 / 경기도 성남시 중원구 / 경기도 수원시 권선구 / 경기도 수원시 영통구 / 경기도 수원시 장안구 / 경기도 수원시 팔달구 / 경기도 시흥시 / 경기도 안산시 단원구 / 경기도 안성시 / 경기도 안양시 동안구 / 경기도 안양시 만안구 / 경기도 양주시 / 경기도 양평군 / 경기도 연천군 / 경기도 오산시 / 경기도 용인시 기흥구 / 경기도 용인시 수지구 / 경기도 용인시 처인구 / 경기도 의왕시 / 경기도 의정부시 / 경기도 파주시 / 경기도 평택시 / 경기도 포천시 / 경기도 하남시 / 경기도 화성시 / 경상남도 거제시 / 경상남도 거창군 / 경상남도 김해시 / 경상남도 사천시 / 경상남도 산청군 / 경상남도 양산시 / 경상남도 진주시 / 경상남도 창녕군 / 경상남도 창원시 마산합포구 / 경상남도 창원시 마산회원구 / 경상남도 창원시 성산구 / 경상남도 창원시 의창구 / 경상남도 창원시 진해구 / 경상남도 통영시 / 경상북도 경산시 / 경상북도 경주시 / 경상북도 구미시 / 경상북도 김천시 / 경상북도 상주시 / 경상북도 성주군 / 경상북도 안동시 / 경상북도 영덕군 / 경상북도 영주시 / 경상북도 예천군 / 경상북도 울진군 / 경상북도 포항시 남구 / 경상북도 포항시 북구 / 광주광역시 광산구 / 광주광역시 북구 / 광주광역시 서구 / 대구광역시 달서구 / 대구광역시 달성군 / 대구광역시 동구 / 대구광역시 북구 / 대구광역시 서구 / 대구광역시 수성구 / 대전광역시 대덕구 / 대전광역시 동구 / 대전광역시 서구 / 대전광역시 유성구 / 대전광역시 중구 / 부산광역시 금정구 / 부산광역시 기장군 / 부산광역시 남구 / 부산광역시 동래구 / 부산광역시 사상구 / 부산광역시 사하구 / 부산광역시 서구 / 부산광역시 수영구 / 부산광역시 연제구 / 부산광역시 중구 / 부산광역시 해운대구 / 서울특별시 강남구 / 서울특별시 강동구 / 서울특별시 강서구 / 서울특별시 관악구 / 서울특별시 구로구 / 서울특별시 금천구 / 서울특별시 도봉구 / 서울특별시 동대문구 / 서울특별시 마포구 / 서울특별시 서초구 / 서울특별시 성동구 / 서울특별시 성북구 / 서울특별시 송파구 / 서울특별시 양천구 / 서울특별시 영등포구 / 서울특별시 용산구 / 서울특별시 은평구 / 서울특별시 종로구 / 서울특별시 중구 / 서울특별시 중랑구 / 세종특별자치시 세종특별자치시 / 울산광역시 남구 / 울산광역시 북구 / 울산광역시 중구 / 인천광역시 계양구 / 인천광역시 남동구 / 인천광역시 동구 / 인천광역시 미추홀구 / 인천광역시 부평구 / 인천광역시 연수구 / 인천광역시 중구 / 전라남도 광양시 / 전라남도 나주시 / 전라남도 목포시 / 전라남도 무안군 / 전라남도 보성군 / 전라남도 순천시 / 전라남도 여수시 / 전라남도 화순군 / 전라북도 군산시 / 전라북도 남원시 / 전라북도 완주군 / 전라북도 익산시 / 전라북도 전주시 덕진구 / 전라북도 전주시 완산구 / 전라북도 정읍시 / 제주특별자치도 서귀포시 / 제주특별자치도 제주시 / 충청남도 공주시 / 충청남도 금산군 / 충청남도 당진시 / 충청남도 부여군 / 충청남도 서산시 / 충청남도 서천군 / 충청남도 아산시 / 충청남도 예산군 / 충청남도 천안시 동남구 / 충청남도 천안시 서북구 / 충청남도 태안군 / 충청남도 홍성군 / 충청북도 영동군 / 충청북도 음성군 / 충청북도 제천시 / 충청북도 진천군 / 충청북도 청주시 상당구 / 충청북도 청주시 서원구 / 충청북도 청주시 청원구 / 충청북도 청주시 흥덕구 / 충청북도 충주시
1408,3350,4,칠곡RDC,대구광역시 남구 / 대구광역시 북구 / 대구광역시 중구
6286,2363,4,칠곡RDC,경상북도 구미시 / 대구광역시 북구
KP12314,1903,1,계룡RDC,전라북도 완주군
316,1851,8,평택RDC,경기도 고양시 덕양구 / 경기도 고양시 일산동구 / 경기도 고양시 일산서구 / 경기도 광명시 / 경기도 용인시 기흥구 / 서울특별시 서초구
2290,1608,8,평택RDC,경기도 고양시 일산동구 / 서울특별시 구로구 / 서울특별시 양천구 / 서울특별시 은평구
670,1446,4,평택RDC,경기도 고양시 덕양구 / 경기도 부천시 원미구 / 인천광역시 부평구
KP12869,1328,2,제천RDC / 평택RDC,경기도 여주시 / 경기도 용인시 처인구
1726,1312,2,계룡RDC,광주광역시 광산구 / 전라남도 나주시
KP12834,1298,1,평택RDC,서울특별시 노원구
7863,1269,2,평택RDC,경기도 시흥시 / 경기도 안산시 상록구
302,1173,2,평택RDC,서울특별시 서초구
7556,1085,8,제천RDC,강원도 강릉시 / 강원도 속초시 / 강원도 인제군 / 강원도 평창군
KP13259,1075,1,평택RDC,서울특별시 영등포구
KP11899,1044,2,평택RDC,경기도 고양시 일산동구 / 경기도 용인시 기흥구
1473,1033,1,칠곡RDC,경상북도 안동시
KP12870,936,1,제천RDC,강원도 원주시
9376,884,5,계룡RDC / 평택RDC,광주광역시 광산구 / 광주광역시 서구 / 서울특별시 강남구 / 전라남도 목포시 / 전라남도 순천시
1833,877,6,계룡RDC,전라북도 군산시 / 전라북도 부안군 / 전라북도 익산시 / 전라북도 전주시 덕진구 / 전라북도 전주시 완산구 / 전라북도 정읍시
679,844,3,계룡RDC / 평택RDC,광주광역시 서구 / 인천광역시 서구
KP12387,813,1,평택RDC,경기도 용인시 기흥구
7832,809,5,계룡RDC,대전광역시 대덕구 / 대전광역시 서구 / 대전광역시 유성구
KP12474,801,1,칠곡RDC,대구광역시 동구
KH02138,798,1,제천RDC,강원도 원주시
1282,795,3,칠곡RDC,경상북도 포항시 북구
1928,756,3,제천RDC / 칠곡RDC,강원도 원주시 / 울산광역시 남구 / 울산광역시 울주군
270,745,11,평택RDC,서울특별시 강남구 / 서울특별시 서대문구 / 서울특별시 서초구 / 서울특별시 송파구
KP11091,735,1,칠곡RDC,경상북도 경주시
KP13671,727,1,평택RDC,충청북도 음성군
5866,719,3,칠곡RDC,경상남도 양산시 / 부산광역시 강서구 / 부산광역시 사상구
10287,714,1,계룡RDC,전라남도 순천시
1220,704,2,칠곡RDC,경상남도 창원시 성산구 / 경상남도 함안군
KP12220,699,1,평택RDC,경기도 하남시
650,690,1,평택RDC,인천광역시 서구
5481,689,3,평택RDC,충청남도 아산시 / 충청남도 천안시 서북구
KH10563,684,1,칠곡RDC,경상북도 포항시 북구
264,682,6,계룡RDC / 제천RDC / 평택RDC,경기도 고양시 일산동구 / 경기도 광명시 / 대전광역시 대덕구 / 서울특별시 구로구 / 충청북도 충주시
KP12535,664,1,평택RDC,경기도 화성시
1093,658,2,칠곡RDC,경상북도 구미시
KP13033,653,1,평택RDC,경기도 화성시
296,651,2,평택RDC,서울특별시 송파구 / 서울특별시 용산구
KH08468,650,1,칠곡RDC,부산광역시 부산진구
KP13438,648,1,계룡RDC,충청남도 보령시
7606,639,1,제천RDC,강원도 원주시
KP12885,635,1,칠곡RDC,울산광역시 남구
KP13212,635,1,칠곡RDC,경상북도 문경시
KP11127,628,1,평택RDC,서울특별시 중랑구
4981,624,2,칠곡RDC,경상남도 창원시 의창구
1016,598,2,계룡RDC / 제천RDC,강원도 정선군 / 충청북도 청주시 청원구
KH10676,595,1,계룡RDC,전라남도 광양시
KP11931,592,2,칠곡RDC,대구광역시 달서구 / 대구광역시 북구
KP12894,589,1,평택RDC,인천광역시 서구
1885,578,6,계룡RDC,전라남도 목포시 / 전라남도 완도군 / 전라남도 진도군 / 전라남도 해남군
662,571,1,평택RDC,인천광역시 남동구
599,569,1,평택RDC,경기도 수원시 권선구
1031,564,1,제천RDC,강원도 춘천시
1457,559,1,칠곡RDC,경상북도 안동시
561,551,1,평택RDC,인천광역시 남동구
727,546,1,평택RDC,경기도 안산시 상록구
10402,545,6,계룡RDC,광주광역시 광산구 / 광주광역시 남구 / 광주광역시 동구 / 광주광역시 서구
10220,537,3,평택RDC,경기도 부천시 원미구 / 인천광역시 부평구 / 인천광역시 연수구
KP13262,535,1,칠곡RDC,경상북도 포항시 북구
461,526,1,평택RDC,서울특별시 영등포구
KP11688,526,1,칠곡RDC,부산광역시 기장군
KH05558,524,1,평택RDC,경기도 고양시 일산서구
KP13071,521,1,칠곡RDC,경상북도 포항시 북구
1909,512,1,계룡RDC,충청북도 청주시 흥덕구
8395,510,1,칠곡RDC,대구광역시 동구
1911,500,2,계룡RDC,충청북도 청주시 서원구 / 충청북도 청주시 흥덕구
1114,498,3,칠곡RDC,경상북도 구미시 / 대구광역시 달성군 / 대구광역시 북구
776,496,1,계룡RDC,대전광역시 대덕구
1221,491,1,칠곡RDC,경상남도 창원시 의창구
KP12892,485,1,계룡RDC,전라남도 순천시
701,484,1,평택RDC,경기도 안양시 동안구
7888,480,2,평택RDC,경기도 남양주시 / 서울특별시 송파구
342,479,1,평택RDC,서울특별시 은평구
KP13295,478,1,칠곡RDC,대구광역시 북구
KP12428,462,1,칠곡RDC,경상남도 진주시
754,462,1,계룡RDC,대전광역시 대덕구
562,461,1,평택RDC,인천광역시 중구
KP12370,461,1,칠곡RDC,울산광역시 중구
7623,457,2,칠곡RDC,울산광역시 울주군
KH11018,450,1,평택RDC,충청남도 홍성군
KP13785,443,1,평택RDC,경기도 화성시
4674,440,3,평택RDC,경기도 부천시 원미구 / 인천광역시 미추홀구 / 인천광역시 부평구
KP12383,435,1,평택RDC,경기도 수원시 권선구
10360,430,5,평택RDC,경기도 부천시 원미구 / 경기도 시흥시
KP11444,424,1,계룡RDC,충청북도 청주시 상당구
368,424,3,평택RDC,서울특별시 강북구 / 서울특별시 구로구 / 서울특별시 도봉구
4703,410,5,제천RDC,강원도 강릉시 / 강원도 속초시 / 강원도 인제군
6768,407,1,계룡RDC,전라남도 여수시
KP12017,407,1,칠곡RDC,대구광역시 달서구
KP12996,403,1,제천RDC,강원도 춘천시
511,399,6,평택RDC,경기도 성남시 분당구
994,398,1,제천RDC,강원도 양양군
KP13265,396,1,칠곡RDC,경상북도 경주시
KP13219,394,1,평택RDC,경기도 광주시
KP12880,394,1,계룡RDC,대전광역시 유성구
10549,390,2,평택RDC,경기도 남양주시
9672,390,22,계룡RDC / 평택RDC,대전광역시 동구 / 세종특별자치시 세종특별자치시 / 충청남도 논산시 / 충청남도 당진시 / 충청남도 보령시 / 충청남도 서산시 / 충청남도 아산시 / 충청남도 천안시 동남구 / 충청남도 천안시 서북구 / 충청남도 홍성군
532,386,1,제천RDC,경기도 이천시
KP11568,385,1,계룡RDC,충청북도 청주시 흥덕구
1059,384,1,제천RDC,강원도 춘천시
9994,383,2,칠곡RDC,대구광역시 달서구 / 대구광역시 달성군
KH09174,382,1,평택RDC,경기도 안성시
1624,382,1,계룡RDC,전라북도 고창군
308,379,1,평택RDC,경기도 성남시 수정구
KH11020,378,1,계룡RDC,광주광역시 광산구
8285,372,1,평택RDC,경기도 광명시
KP13297,372,1,평택RDC,경기도 양주시
1045,371,1,제천RDC,충청북도 제천시
KP12534,367,1,평택RDC,인천광역시 미추홀구
947,365,1,계룡RDC,대전광역시 서구
1383,363,3,칠곡RDC,경상남도 거창군 / 경상남도 산청군 / 경상남도 함양군
KP13083,362,1,칠곡RDC,대구광역시 달서구
1415,361,1,칠곡RDC,경상북도 영천시
2302,359,3,계룡RDC,전라남도 목포시 / 전라남도 영암군 / 전라남도 해남군
1595,357,1,칠곡RDC,부산광역시 금정구
7570,357,1,제주RDC,제주특별자치도 제주시
254,355,1,평택RDC,서울특별시 영등포구
KH10956,355,1,평택RDC,충청남도 홍성군
1374,353,1,칠곡RDC,경상남도 진주시
6128,353,1,칠곡RDC,경상북도 포항시 남구
KP13257,353,1,평택RDC,경기도 광주시
1026,353,3,제천RDC,충청북도 단양군 / 충청북도 제천시
KP12184,352,1,제주RDC,제주특별자치도 제주시
KP13203,351,1,계룡RDC,광주광역시 광산구
7583,349,1,제주RDC,제주특별자치도 제주시
KP13441,349,1,칠곡RDC,경상북도 구미시
KP13073,348,1,평택RDC,서울특별시 동대문구
KH07494,347,1,칠곡RDC,경상북도 경산시
7936,345,3,칠곡RDC,경상북도 상주시
345,344,1,평택RDC,경기도 고양시 덕양구
KP13405,344,1,계룡RDC,광주광역시 광산구
891,343,1,계룡RDC,충청남도 보령시
1307,343,1,칠곡RDC,울산광역시 동구
5398,342,4,평택RDC,경기도 광주시 / 경기도 성남시 수정구 / 경기도 성남시 중원구 / 경기도 하남시
KP12809,341,1,계룡RDC,광주광역시 북구
1200,341,4,칠곡RDC,경상남도 밀양시
KH01431,340,1,평택RDC,서울특별시 중랑구
297,339,1,평택RDC,서울특별시 서초구
KP13707,339,1,평택RDC,서울특별시 은평구
KP13077,338,1,평택RDC,경기도 용인시 기흥구
6977,337,1,칠곡RDC,경상북도 경주시
KP11583,335,1,계룡RDC,충청남도 청양군
KP12129,334,1,칠곡RDC,부산광역시 북구
KP13215,329,1,칠곡RDC,부산광역시 해운대구
1012,328,1,제천RDC,강원도 동해시
9310,327,1,칠곡RDC,경상남도 김해시
KP12111,326,1,칠곡RDC,부산광역시 기장군
1327,326,1,칠곡RDC,경상남도 남해군
492,325,1,평택RDC,서울특별시 강서구
KH09604,324,1,평택RDC,경기도 군포시
KP12503,324,1,계룡RDC,충청북도 괴산군
KP12419,324,1,칠곡RDC,경상남도 김해시
529,324,1,제천RDC,경기도 여주시
5007,322,2,평택RDC,서울특별시 동대문구 / 서울특별시 마포구
2276,322,1,제천RDC,경기도 이천시
1588,321,2,칠곡RDC,경상남도 창원시 진해구 / 부산광역시 해운대구
8083,321,8,제천RDC / 칠곡RDC / 평택RDC,강원도 양양군 / 강원도 원주시 / 경기도 가평군 / 경기도 광주시 / 경기도 의왕시 / 경기도 포천시 / 경상북도 경주시
957,321,1,제천RDC,강원도 고성군
KP13849,320,1,칠곡RDC,경상남도 진주시
KP13053,318,1,칠곡RDC,경상북도 구미시
1784,317,1,계룡RDC,전라남도 순천시
KH02075,317,1,칠곡RDC,대구광역시 중구
5949,317,1,평택RDC,서울특별시 강동구
KP13818,316,1,평택RDC,서울특별시 동작구
3078,315,1,칠곡RDC,경상남도 창원시 마산합포구
KH08961,315,1,칠곡RDC,부산광역시 남구
KP12211,314,1,평택RDC,경기도 수원시 장안구
KP12337,312,1,평택RDC,경기도 광주시
KP12086,311,1,칠곡RDC,경상남도 거제시
1834,311,1,계룡RDC,전라북도 군산시
KP13272,307,1,칠곡RDC,부산광역시 사상구
KP11006,307,1,제천RDC,강원도 원주시
3020118,306,1,평택RDC,경기도 구리시
KP13081,305,1,계룡RDC,충청북도 청주시 청원구
51,304,1,평택RDC,경기도 파주시
KP11598,301,1,칠곡RDC,경상북도 포항시 북구
KP12403,300,1,계룡RDC,전라북도 전주시 덕진구
1318,299,1,칠곡RDC,울산광역시 남구
KH06167,299,1,평택RDC,경기도 남양주시
9358,299,1,평택RDC,경기도 김포시
1754,298,1,계룡RDC,전라남도 여수시
KP12054,297,1,계룡RDC,전라북도 정읍시
6360,296,2,제천RDC,경기도 여주시 / 경기도 이천시
KP13200,295,1,칠곡RDC,경상남도 창원시 성산구
KP13079,293,1,평택RDC,경기도 안산시 상록구
8111,291,1,칠곡RDC,경상북도 김천시
KP13137,290,1,계룡RDC,대전광역시 대덕구
9073,290,1,계룡RDC,충청남도 계룡시
10537,289,2,계룡RDC,광주광역시 남구 / 광주광역시 북구
7855,289,2,칠곡RDC,울산광역시 남구
1116,287,1,칠곡RDC,대구광역시 달서구
KP11372,287,1,계룡RDC,전라남도 담양군
KH09590,287,1,제천RDC,강원도 강릉시
7843,286,1,계룡RDC,전라남도 광양시
KH00891,286,1,평택RDC,인천광역시 계양구
KH10521,286,1,평택RDC,경기도 하남시
7243,286,2,평택RDC,강원도 철원군 / 서울특별시 도봉구
888,282,2,평택RDC,충청남도 서산시 / 충청남도 아산시
1190,281,3,칠곡RDC,경상남도 창원시 마산회원구 / 경상남도 통영시
5230,281,1,칠곡RDC,경상북도 구미시
1055,279,1,제천RDC,강원도 원주시
417,278,1,평택RDC,서울특별시 성동구
KP13211,278,1,평택RDC,서울특별시 광진구
KH09924,277,1,평택RDC,서울특별시 서초구
1772,277,1,계룡RDC,전라남도 고흥군
702,277,1,평택RDC,경기도 안산시 단원구
1499,277,1,제주RDC,제주특별자치도 제주시
4680,276,2,평택RDC,경기도 가평군 / 경기도 남양주시
10221,275,2,평택RDC,충청남도 천안시 동남구
KP11577,273,1,평택RDC,경기도 파주시
10071,268,2,평택RDC,경기도 의정부시 / 서울특별시 도봉구
9256,267,1,평택RDC,경기도 화성시
815,267,1,평택RDC,충청남도 천안시 동남구
8932,267,4,칠곡RDC,부산광역시 기장군 / 부산광역시 사상구 / 부산광역시 해운대구
KP12884,266,1,평택RDC,경기도 김포시
436,265,19,계룡RDC / 제주RDC / 제천RDC / 중부RDC / 칠곡RDC / 평택RDC,강원도 강릉시 / 강원도 원주시 / 강원도 춘천시 / 강원도 횡성군 / 경기도 안양시 동안구 / 경기도 용인시 수지구 / 경상남도 진주시 / 경상북도 경주시 / 경상북도 안동시 / 대구광역시 동구 / 부산광역시 강서구 / 서울특별시 성북구 / 서울특별시 용산구 / 울산광역시 북구 / 제주특별자치도 제주시 / 충청남도 홍성군 / 충청북도 청주시 청원구 / 충청북도 청주시 흥덕구 / 충청북도 충주시
KH01294,264,1,칠곡RDC,부산광역시 수영구
KP13260,264,1,칠곡RDC,경상남도 양산시
1038,264,1,제천RDC,충청북도 제천시
442,263,1,평택RDC,서울특별시 동대문구
KP12504,262,1,계룡RDC,대전광역시 서구
KP13018,262,1,칠곡RDC,경상남도 고성군
KP13224,259,1,평택RDC,경기도 시흥시
KP12315,258,1,칠곡RDC,부산광역시 동래구
KP13063,257,1,평택RDC,경기도 파주시
10261,257,1,평택RDC,인천광역시 부평구
KP13076,256,1,평택RDC,인천광역시 부평구
KP12836,256,1,평택RDC,경기도 남양주시
847,256,1,제천RDC,충청북도 충주시
KP12051,256,1,칠곡RDC,부산광역시 금정구
KP13004,256,1,계룡RDC,전라북도 전주시 완산구
KP12832,255,1,제천RDC,강원도 삼척시
861,254,1,계룡RDC,세종특별자치시 세종특별자치시
7911,254,2,평택RDC,충청남도 서산시
KH10747,253,1,평택RDC,충청북도 음성군
2556,252,3,계룡RDC,전라남도 강진군 / 전라남도 영광군 / 전라남도 진도군
6237,252,5,제천RDC,강원도 동해시 / 강원도 원주시
KP11030,252,1,칠곡RDC,경상북도 고령군
9836,251,1,칠곡RDC,경상북도 안동시
10359,251,1,평택RDC,충청남도 천안시 동남구
KP12818,249,1,계룡RDC,대전광역시 유성구
KH02153,246,1,평택RDC,경기도 하남시
KP11802,245,1,칠곡RDC,경상북도 포항시 북구
1210,245,1,칠곡RDC,경상남도 창원시 마산회원구
KH01429,244,1,칠곡RDC,대구광역시 북구
856,244,1,계룡RDC,충청북도 보은군
KP12954,243,1,제주RDC,제주특별자치도 서귀포시
KP11100,242,1,칠곡RDC,경상북도 경산시
KP13221,242,1,계룡RDC,전라남도 순천시
573,240,1,평택RDC,인천광역시 미추홀구
1387,240,1,칠곡RDC,경상남도 합천군
1601,239,2,칠곡RDC,경상남도 양산시 / 부산광역시 부산진구
7561,239,2,평택RDC,경기도 군포시 / 경기도 평택시
KP13249,239,1,평택RDC,충청남도 아산시
KP13084,239,1,칠곡RDC,부산광역시 연제구
7837,238,1,칠곡RDC,부산광역시 북구
4300,238,1,제천RDC,강원도 동해시
KP13852,238,1,칠곡RDC,부산광역시 수영구
KP13108,237,1,계룡RDC,전라남도 함평군
334,237,1,평택RDC,서울특별시 서대문구
KP12696,237,1,칠곡RDC,경상남도 함안군
KH05535,237,1,칠곡RDC,부산광역시 사하구
1884,236,1,계룡RDC,전라남도 강진군
KP13751,236,1,칠곡RDC,경상북도 포항시 남구
KP13420,235,1,칠곡RDC,경상북도 포항시 북구
KP13607,233,1,칠곡RDC,경상남도 김해시
KH09802,232,1,계룡RDC,세종특별자치시 세종특별자치시
KH09777,232,1,평택RDC,경기도 고양시 일산동구
KP12848,231,1,평택RDC,경기도 고양시 일산동구
KH01430,231,1,계룡RDC,대전광역시 중구
862,230,1,계룡RDC,충청북도 증평군
KH09815,229,1,평택RDC,서울특별시 구로구
KH07306,229,1,평택RDC,경기도 평택시
KH09749,226,1,칠곡RDC,경상남도 김해시
1729,226,1,계룡RDC,전라남도 나주시
KP12967,226,1,칠곡RDC,경상남도 양산시
657,225,1,평택RDC,인천광역시 부평구
7586,225,2,평택RDC,충청북도 진천군
401,224,1,평택RDC,서울특별시 성동구
853,224,1,평택RDC,충청북도 음성군
7663,224,2,제천RDC,강원도 춘천시
873,224,1,평택RDC,충청남도 당진시
KP12851,223,1,계룡RDC,충청남도 보령시
KP13220,222,1,평택RDC,경기도 평택시
4836,222,1,제주RDC,제주특별자치도 제주시
1020,222,2,제천RDC,강원도 인제군
KP13643,221,1,평택RDC,경기도 화성시
KH02350,221,1,평택RDC,인천광역시 서구
1775,220,3,계룡RDC,전라남도 광양시
6885,220,1,평택RDC,서울특별시 관악구
KP12163,220,1,평택RDC,경기도 포천시
1471,220,1,제천RDC,경상북도 영주시
416,220,1,평택RDC,서울특별시 용산구
KH09782,219,1,계룡RDC,세종특별자치시 세종특별자치시
KP13074,219,1,평택RDC,경기도 양주시
KH09531,218,1,평택RDC,경기도 화성시
KP12814,217,1,계룡RDC,전라남도 광양시
KP12856,217,1,칠곡RDC,경상북도 경주시
5266,217,11,칠곡RDC,경상북도 경산시 / 경상북도 구미시 / 경상북도 상주시 / 경상북도 안동시 / 경상북도 영천시 / 경상북도 예천군 / 경상북도 칠곡군 / 대구광역시 북구
737,216,2,계룡RDC,충청남도 금산군
KP11671,216,1,칠곡RDC,부산광역시 사상구
KP11933,216,1,계룡RDC,전라북도 전주시 완산구
KP13012,215,1,계룡RDC,충청남도 공주시
KP13299,215,1,칠곡RDC,경상남도 진주시
8116,215,2,칠곡RDC,경상북도 청송군
KP11565,215,1,평택RDC,인천광역시 부평구
9306,215,3,계룡RDC,대전광역시 서구 / 충청남도 논산시
7060,214,2,평택RDC,인천광역시 미추홀구
5361,214,2,평택RDC,경기도 성남시 수정구
