주문자코드(Sold to),건수,배송지(Ship-to) 수,출하RDC,배송지역
KP12736,4,1,평택RDC,충청남도 예산군
KH10980,4,1,평택RDC,경기도 안성시
KP13479,4,1,평택RDC,인천광역시 중구
KH09561,4,1,평택RDC,경기도 구리시
3020495,4,1,칠곡RDC,부산광역시 남구
KP12118,4,1,칠곡RDC,울산광역시 울주군
KH10745,4,1,칠곡RDC,부산광역시 강서구
KP12006,4,1,평택RDC,경기도 화성시
KP12550,4,1,계룡RDC,전라북도 완주군
5354,4,3,계룡RDC,전라북도 군산시 / 전라북도 부안군 / 전라북도 완주군
3015909,4,1,칠곡RDC,울산광역시 동구
KP12195,4,1,칠곡RDC,경상북도 구미시
KH08553,4,1,칠곡RDC,경상남도 김해시
KP12443,4,1,계룡RDC,대전광역시 서구
KP11880,4,1,칠곡RDC,부산광역시 부산진구
1203,4,1,칠곡RDC,경상남도 창원시 진해구
3015932,4,1,칠곡RDC,부산광역시 사상구
KH06156,4,1,평택RDC,서울특별시 송파구
KH00028,4,1,평택RDC,경기도 하남시
KH08202,4,1,칠곡RDC,부산광역시 금정구
KH10241,4,1,평택RDC,경기도 양주시
KH09608,4,1,계룡RDC,대전광역시 유성구
6952,4,1,평택RDC,강원도 철원군
KH10407,4,1,칠곡RDC,경상남도 양산시
104,4,1,제천RDC,충청북도 제천시
3022042,4,1,칠곡RDC,경상남도 양산시
1883,4,1,계룡RDC,전라남도 진도군
7402,4,1,평택RDC,경기도 평택시
KH10507,4,1,평택RDC,경기도 광주시
3021867,4,1,칠곡RDC,부산광역시 영도구
1072,4,1,칠곡RDC,경상북도 칠곡군
8451,4,1,칠곡RDC,경상북도 포항시 남구
KH11019,4,1,칠곡RDC,부산광역시 기장군
3008231,4,1,계룡RDC,전라남도 영광군
KP12221,4,1,계룡RDC,대전광역시 중구
KP13677,4,1,제천RDC,강원도 동해시
10610,4,2,계룡RDC / 제주RDC,광주광역시 광산구 / 제주특별자치도 제주시
KP13013,4,1,평택RDC,충청남도 천안시 서북구
KH11058,4,1,계룡RDC,광주광역시 북구
KH11323,4,1,평택RDC,경기도 광주시
KH11214,4,1,평택RDC,인천광역시 미추홀구
KH11375,4,1,평택RDC,인천광역시 남동구
KH11066,4,1,평택RDC,경기도 용인시 처인구
KH11376,4,1,평택RDC,서울특별시 강남구
KH11143,4,1,평택RDC,서울특별시 서초구
KP13462,4,1,계룡RDC,충청북도 청주시 흥덕구
KH10335,4,1,평택RDC,경기도 고양시 일산동구
KP13717,4,1,제천RDC,경기도 여주시
5104,4,1,계룡RDC,전라남도 목포시
KH11212,4,1,칠곡RDC,경상북도 구미시
KH11062,4,1,평택RDC,경기도 수원시 팔달구
5097,4,1,평택RDC,경기도 가평군
KH11250,4,1,평택RDC,경기도 고양시 덕양구
KH11313,4,1,계룡RDC,세종특별자치시 세종특별자치시
KP12429,4,1,계룡RDC,충청북도 청주시 흥덕구
KH09962,4,1,칠곡RDC,대구광역시 북구
KP13608,4,1,제천RDC,충청북도 충주시
KH10473,4,1,칠곡RDC,대구광역시 북구
KH10574,4,1,제천RDC,강원도 강릉시
KH01218,4,1,칠곡RDC,부산광역시 강서구
KH10371,4,1,계룡RDC,대전광역시 서구
KP12877,4,1,계룡RDC,충청북도 청주시 흥덕구
KH09726,4,1,평택RDC,경기도 성남시 분당구
3017595,4,1,계룡RDC,광주광역시 광산구
7834,3,1,칠곡RDC,경상북도 칠곡군
KP12800,3,1,칠곡RDC,부산광역시 부산진구
KH09652,3,1,칠곡RDC,경상남도 거제시
KH10533,3,1,칠곡RDC,경상남도 창원시 진해구
KP12209,3,1,제천RDC,강원도 평창군
KH01138,3,1,칠곡RDC,경상북도 구미시
KH10479,3,1,평택RDC,경기도 용인시 기흥구
KP13066,3,1,평택RDC,서울특별시 은평구
3006767,3,1,칠곡RDC,경상남도 거제시
3021871,3,1,칠곡RDC,부산광역시 사하구
KP11541,3,1,평택RDC,서울특별시 양천구
KH02301,3,1,칠곡RDC,부산광역시 사상구
KP12440,3,1,칠곡RDC,경상남도 창원시 마산합포구
3011556,3,1,계룡RDC,전라남도 순천시
KP12859,3,1,칠곡RDC,경상남도 거제시
KH02004,3,1,칠곡RDC,경상북도 포항시 북구
3021861,3,1,칠곡RDC,부산광역시 사하구
KH10797,3,1,칠곡RDC,대구광역시 북구
KH02143,3,1,계룡RDC,충청남도 공주시
3017225,3,1,칠곡RDC,경상남도 양산시
KH10522,3,1,평택RDC,서울특별시 중랑구
3020294,3,1,칠곡RDC,경상남도 창원시 진해구
10396,3,1,칠곡RDC,경상북도 안동시
3012448,3,1,칠곡RDC,경상북도 칠곡군
KH11001,3,1,칠곡RDC,경상남도 거제시
KH10742,3,1,평택RDC,인천광역시 서구
KH10316,3,1,칠곡RDC,울산광역시 중구
KP12119,3,1,칠곡RDC,울산광역시 울주군
KP12120,3,1,칠곡RDC,울산광역시 울주군
3020002,3,1,평택RDC,경기도 광명시
KP12401,3,1,평택RDC,서울특별시 종로구
KH10999,3,1,칠곡RDC,대구광역시 달성군
KH09655,3,1,칠곡RDC,경상남도 함안군
KP12489,3,1,제천RDC,강원도 강릉시
3022090,3,1,칠곡RDC,부산광역시 기장군
6450,3,1,평택RDC,경기도 용인시 처인구
3006608,3,1,칠곡RDC,경상남도 양산시
9583,3,1,평택RDC,경기도 화성시
3003965,3,1,칠곡RDC,부산광역시 북구
KP11818,3,1,칠곡RDC,부산광역시 금정구
3020454,3,1,칠곡RDC,부산광역시 수영구
KH09909,3,1,평택RDC,경기도 성남시 수정구
KP11396,3,1,칠곡RDC,대구광역시 달성군
KH10577,3,1,칠곡RDC,경상남도 산청군
KP12278,3,1,계룡RDC,전라남도 광양시
3020478,3,1,칠곡RDC,부산광역시 북구
KH10119,3,1,평택RDC,경기도 김포시
3004654,3,1,평택RDC,경기도 남양주시
KP12819,3,1,칠곡RDC,경상북도 안동시
KP13290,3,1,칠곡RDC,울산광역시 울주군
KH10010,3,1,칠곡RDC,부산광역시 사하구
KP13198,3,1,계룡RDC,충청북도 청주시 서원구
KP13681,3,1,계룡RDC,광주광역시 남구
3010879,3,1,평택RDC,경기도 성남시 분당구
KP12597,3,1,평택RDC,충청남도 천안시 서북구
KH11057,3,1,칠곡RDC,경상북도 경주시
KH11267,3,1,계룡RDC,광주광역시 서구
KH11207,3,1,계룡RDC,전라남도 장성군
KH01284,3,1,칠곡RDC,대구광역시 북구
KH11183,3,1,평택RDC,경기도 시흥시
KH11246,3,1,평택RDC,서울특별시 강북구
KH11373,3,1,평택RDC,서울특별시 중구
KP13156,3,1,계룡RDC,충청남도 아산시
KH11094,3,1,평택RDC,경기도 수원시 권선구
3015516,3,1,제천RDC,강원도 속초시
KH11255,3,1,평택RDC,충청남도 아산시
KH10090,3,1,칠곡RDC,울산광역시 울주군
KH11128,3,1,계룡RDC,전라남도 진도군
KP12413,3,1,평택RDC,경기도 화성시
4351,3,1,계룡RDC,전라남도 무안군
KH10708,3,1,칠곡RDC,경상남도 고성군
3020344,3,1,칠곡RDC,경상남도 남해군
KH05611,3,1,제천RDC,강원도 화천군
KH10684,3,1,제천RDC,충청북도 충주시
KP13770,3,1,평택RDC,인천광역시 중구
KP13738,3,1,평택RDC,경기도 남양주시
3016796,3,1,평택RDC,서울특별시 동작구
KH06945,3,1,평택RDC,경기도 화성시
KH01461,3,1,계룡RDC,대전광역시 유성구
KH11193,3,1,칠곡RDC,경상북도 봉화군
KH10089,3,1,평택RDC,경기도 수원시 권선구
KH11180,3,1,칠곡RDC,부산광역시 금정구
KH10569,3,1,제천RDC,경기도 이천시
7914,3,1,계룡RDC,광주광역시 광산구
KP12099,3,1,계룡RDC,대전광역시 대덕구
KP13780,3,1,칠곡RDC,경상북도 구미시
5994,3,1,칠곡RDC,부산광역시 부산진구
KH08001,2,1,평택RDC,서울특별시 서초구
KH09883,2,1,평택RDC,경기도 용인시 처인구
6845,2,1,평택RDC,경기도 시흥시
9712,2,1,칠곡RDC,대구광역시 달서구
KH10259,2,1,평택RDC,서울특별시 강서구
KH10258,2,1,평택RDC,서울특별시 강서구
9807,2,1,평택RDC,경기도 평택시
KP13612,2,1,평택RDC,경기도 하남시
KH10269,2,1,평택RDC,충청남도 아산시
9267,2,1,계룡RDC,전라남도 여수시
KP13184,2,1,칠곡RDC,경상북도 문경시
3007481,2,1,칠곡RDC,경상남도 통영시
KH01994,2,1,평택RDC,경기도 고양시 일산서구
5890,2,1,평택RDC,충청남도 서산시
KP12678,2,1,평택RDC,경기도 화성시
KH08012,2,1,칠곡RDC,경상남도 창원시 마산회원구
KH10677,2,1,칠곡RDC,부산광역시 사상구
545,2,1,평택RDC,서울특별시 성북구
3021931,2,1,칠곡RDC,부산광역시 남구
KP11299,2,1,평택RDC,충청남도 서산시
3021930,2,1,칠곡RDC,부산광역시 남구
KH10247,2,1,계룡RDC,광주광역시 북구
3009401,2,1,칠곡RDC,경상남도 김해시
9609,2,1,계룡RDC,전라북도 군산시
KH10130,2,1,칠곡RDC,대구광역시 수성구
2977,2,1,계룡RDC,전라북도 익산시
3020347,2,1,칠곡RDC,경상남도 진주시
10619,2,1,칠곡RDC,경상남도 진주시
KH09639,2,1,평택RDC,충청북도 음성군
KH08630,2,1,평택RDC,경기도 포천시
10350,2,1,평택RDC,서울특별시 강남구
KH10810,2,1,평택RDC,경기도 용인시 기흥구
3010517,2,1,칠곡RDC,경상남도 진주시
KH10630,2,1,평택RDC,경기도 평택시
3010397,2,1,칠곡RDC,경상남도 진주시
KH09919,2,1,평택RDC,서울특별시 강서구
KH02097,2,1,평택RDC,충청남도 당진시
KP12508,2,1,칠곡RDC,부산광역시 금정구
10210,2,1,계룡RDC,전라북도 군산시
KP12121,2,1,칠곡RDC,울산광역시 울주군
KP12177,2,1,평택RDC,경기도 고양시 덕양구
6514,2,1,칠곡RDC,울산광역시 남구
KH00557,2,1,칠곡RDC,부산광역시 강서구
KH10096,2,1,칠곡RDC,울산광역시 남구
KH11011,2,1,칠곡RDC,부산광역시 부산진구
KH01983,2,1,칠곡RDC,경상남도 진주시
KH10791,2,1,칠곡RDC,경상북도 안동시
3001049,2,1,칠곡RDC,경상북도 포항시 남구
KP12087,2,1,칠곡RDC,부산광역시 사하구
3012153,2,1,평택RDC,인천광역시 중구
KP13247,2,1,제천RDC,경기도 여주시
KP11666,2,1,제천RDC,강원도 정선군
10310,2,1,평택RDC,경기도 고양시 덕양구
KH11016,2,1,평택RDC,경기도 성남시 중원구
9564,2,1,제천RDC,강원도 강릉시
KP13041,2,1,제천RDC,강원도 춘천시
KH11007,2,1,칠곡RDC,부산광역시 기장군
KH11006,2,1,제천RDC,경상북도 영주시
KH10239,2,1,평택RDC,경기도 시흥시
KP13402,2,1,평택RDC,충청남도 천안시 동남구
KH09635,2,1,계룡RDC,충청남도 부여군
6253,2,1,칠곡RDC,경상남도 창원시 마산합포구
KH09834,2,1,평택RDC,충청남도 천안시 동남구
8963,2,1,평택RDC,경기도 연천군
9651,2,1,평택RDC,경기도 오산시
KH11113,2,1,칠곡RDC,경상남도 김해시
KH11167,2,1,칠곡RDC,경상남도 양산시
KH11099,2,1,평택RDC,서울특별시 영등포구
KH11114,2,1,칠곡RDC,경상남도 진주시
KH11110,2,1,칠곡RDC,부산광역시 사상구
KH01153,2,1,칠곡RDC,부산광역시 사상구
KH09537,2,1,칠곡RDC,부산광역시 기장군
5174,2,1,평택RDC,경기도 포천시
KH11152,2,1,평택RDC,경기도 광명시
KH11147,2,1,계룡RDC,광주광역시 북구
KH09913,2,1,평택RDC,경기도 김포시
KH11162,2,1,칠곡RDC,부산광역시 사상구
KH02013,2,1,계룡RDC,대전광역시 대덕구
KH11151,2,1,칠곡RDC,울산광역시 북구
3006564,2,1,칠곡RDC,경상남도 김해시
KH11039,2,1,칠곡RDC,경상남도 밀양시
3020476,2,1,칠곡RDC,부산광역시 기장군
KP12555,2,1,계룡RDC,전라북도 진안군
1219,2,1,칠곡RDC,경상남도 창원시 의창구
KP13603,2,1,평택RDC,인천광역시 미추홀구
KH11211,2,1,칠곡RDC,경상북도 구미시
KH11008,2,1,계룡RDC,광주광역시 광산구
KH06934,2,1,계룡RDC,전라북도 전주시 완산구
KH09752,2,1,칠곡RDC,부산광역시 금정구
KH11361,2,1,칠곡RDC,경상남도 창원시 의창구
KH11365,2,1,제주RDC,제주특별자치도 서귀포시
KH11366,2,1,제주RDC,제주특별자치도 서귀포시
KH11329,2,1,평택RDC,경기도 시흥시
KP13639,2,1,제천RDC,강원도 속초시
KH09795,2,1,계룡RDC,전라북도 전주시 덕진구
716,2,1,평택RDC,경기도 안산시 단원구
KH09872,2,1,평택RDC,인천광역시 부평구
KH11371,2,1,평택RDC,경기도 김포시
KH01814,2,1,계룡RDC,전라남도 화순군
KH01995,2,1,평택RDC,경기도 파주시
KH11342,2,1,칠곡RDC,경상북도 경산시
KH11343,2,1,칠곡RDC,경상북도 경산시
KH10256,2,1,칠곡RDC,부산광역시 강서구
8164,2,1,계룡RDC,충청북도 청주시 서원구
3006922,2,1,칠곡RDC,경상남도 진주시
5980,2,1,평택RDC,충청남도 예산군
3021865,2,1,칠곡RDC,경상남도 창원시 마산회원구
KP13129,2,1,계룡RDC,충청남도 논산시
KH11390,2,1,제천RDC,강원도 평창군
KH11387,2,1,평택RDC,충청남도 천안시 동남구
KH11367,2,1,제주RDC,제주특별자치도 제주시
KH09975,2,1,평택RDC,경기도 고양시 일산서구
10524,2,1,평택RDC,경기도 화성시
KP12194,2,1,칠곡RDC,부산광역시 강서구
KP13252,2,1,계룡RDC,충청북도 옥천군
KP11517,2,1,계룡RDC,충청남도 서천군
3014242,2,1,평택RDC,서울특별시 강북구
KP12045,2,1,평택RDC,경기도 용인시 기흥구
KH10023,2,1,평택RDC,서울특별시 성동구
KH08403,2,1,평택RDC,경기도 용인시 처인구
KH10678,2,1,제천RDC,강원도 영월군
3010114,2,1,계룡RDC,전라남도 해남군
KH10042,2,1,제천RDC,충청북도 충주시
KH11051,2,1,평택RDC,충청북도 음성군
KH10435,2,1,평택RDC,충청남도 천안시 서북구
3016892,1,1,칠곡RDC,경상북도 포항시 남구
KP12620,1,1,계룡RDC,충청북도 청주시 상당구
KH02080,1,1,칠곡RDC,대구광역시 수성구
KP12449,1,1,칠곡RDC,부산광역시 강서구
KH01106,1,1,제천RDC,강원도 속초시
3013746,1,1,칠곡RDC,부산광역시 강서구
KP11402,1,1,칠곡RDC,울산광역시 동구
KP12011,1,1,평택RDC,경기도 성남시 수정구
KP11207,1,1,평택RDC,경기도 남양주시
KH10085,1,1,계룡RDC,광주광역시 광산구
KH10982,1,1,칠곡RDC,경상북도 성주군
KH00493,1,1,칠곡RDC,부산광역시 연제구
KH10014,1,1,칠곡RDC,경상남도 함안군
KP11401,1,1,평택RDC,경기도 시흥시
7829,1,1,칠곡RDC,부산광역시 사상구
KH02020,1,1,평택RDC,서울특별시 마포구
KH08526,1,1,평택RDC,서울특별시 동대문구
KH10948,1,1,칠곡RDC,경상북도 의성군
KH10572,1,1,제주RDC,제주특별자치도 제주시
KP12181,1,1,계룡RDC,전라남도 광양시
KH02120,1,1,칠곡RDC,경상남도 창녕군
313,1,1,평택RDC,서울특별시 송파구
KP12708,1,1,평택RDC,경기도 남양주시
1766,1,1,계룡RDC,전라남도 여수시
KH01991,1,1,계룡RDC,충청북도 청주시 서원구
KH08350,1,1,칠곡RDC,경상남도 거제시
KP12170,1,1,계룡RDC,전라남도 순천시
KH10710,1,1,칠곡RDC,부산광역시 강서구
10317,1,1,평택RDC,서울특별시 서초구
KP12611,1,1,칠곡RDC,경상남도 진주시
KH09634,1,1,칠곡RDC,부산광역시 사하구
KH00904,1,1,칠곡RDC,경상남도 창원시 마산합포구
KP11705,1,1,평택RDC,경기도 화성시
3018470,1,1,칠곡RDC,경상북도 울진군
KP12460,1,1,계룡RDC,세종특별자치시 세종특별자치시
KH10814,1,1,제천RDC,경기도 이천시
10355,1,1,평택RDC,서울특별시 송파구
KH07473,1,1,평택RDC,경기도 화성시
1750,1,1,계룡RDC,전라남도 보성군
3022172,1,1,칠곡RDC,경상남도 김해시
KH00336,1,1,제천RDC,강원도 영월군
KH09687,1,1,칠곡RDC,경상남도 거창군
KH02007,1,1,계룡RDC,전라북도 전주시 덕진구
3001644,1,1,칠곡RDC,경상북도 포항시 남구
KP11665,1,1,계룡RDC,전라남도 광양시
K011509,1,1,칠곡RDC,경상남도 함양군
KP12991,1,1,칠곡RDC,경상북도 경산시
KH00876,1,1,칠곡RDC,경상북도 포항시 남구
KH10058,1,1,평택RDC,경기도 남양주시
KP13366,1,1,평택RDC,경기도 화성시
KP13059,1,1,칠곡RDC,대구광역시 서구
3021915,1,1,칠곡RDC,부산광역시 연제구
KP13448,1,1,칠곡RDC,대구광역시 달성군
KP11806,1,1,칠곡RDC,부산광역시 사하구
3010957,1,1,칠곡RDC,경상남도 함안군
KH02203,1,1,제천RDC,강원도 강릉시
3007852,1,1,칠곡RDC,경상남도 밀양시
KP12037,1,1,칠곡RDC,부산광역시 사하구
3020345,1,1,칠곡RDC,경상남도 남해군
KH10261,1,1,평택RDC,서울특별시 구로구
KP13159,1,1,계룡RDC,전라북도 김제시
3021933,1,1,칠곡RDC,부산광역시 수영구
9067,1,1,계룡RDC,광주광역시 광산구
KH11022,1,1,계룡RDC,전라북도 김제시
KP13255,1,1,평택RDC,경기도 화성시
KH11026,1,1,평택RDC,충청남도 천안시 동남구
KH00798,1,1,평택RDC,서울특별시 양천구
KP12820,1,1,계룡RDC,전라북도 익산시
KH07283,1,1,계룡RDC,전라북도 전주시 덕진구
KH11027,1,1,칠곡RDC,부산광역시 기장군
KH11010,1,1,칠곡RDC,부산광역시 사상구
10546,1,1,칠곡RDC,경상남도 함안군
KH10922,1,1,칠곡RDC,경상북도 영양군
KP11679,1,1,계룡RDC,충청북도 청주시 서원구
3011398,1,1,계룡RDC,전라남도 진도군
KP12703,1,1,제천RDC,강원도 평창군
KH05566,1,1,계룡RDC,충청북도 청주시 상당구
3018866,1,1,제천RDC,강원도 원주시
10626,1,1,칠곡RDC,경상북도 포항시 남구
KH11100,1,1,평택RDC,인천광역시 계양구
KH11095,1,1,평택RDC,경기도 용인시 기흥구
KP12876,1,1,평택RDC,인천광역시 동구
KH11105,1,1,계룡RDC,충청북도 청주시 흥덕구
3007631,1,1,제천RDC,충청북도 제천시
KH11102,1,1,평택RDC,경기도 양주시
KH11115,1,1,제주RDC,제주특별자치도 제주시
KH11106,1,1,계룡RDC,광주광역시 북구
KH11311,1,1,칠곡RDC,부산광역시 사상구
KH01285,1,1,제주RDC,제주특별자치도 제주시
KH11340,1,1,제천RDC,강원도 삼척시
KH11112,1,1,칠곡RDC,울산광역시 북구
KH11148,1,1,계룡RDC,전라북도 전주시 덕진구
KP12861,1,1,칠곡RDC,경상남도 창원시 진해구
KH11155,1,1,제천RDC,강원도 원주시
KH11164,1,1,칠곡RDC,경상남도 진주시
KP13098,1,1,제천RDC,경기도 이천시
KH11165,1,1,제주RDC,제주특별자치도 제주시
KH11144,1,1,평택RDC,서울특별시 영등포구
KH10808,1,1,계룡RDC,충청북도 청주시 흥덕구
KH02008,1,1,칠곡RDC,부산광역시 사상구
KP13656,1,1,계룡RDC,광주광역시 광산구
KH11028,1,1,제주RDC,제주특별자치도 제주시
KP11340,1,1,칠곡RDC,울산광역시 울주군
3010013,1,1,계룡RDC,전라남도 영암군
KH09882,1,1,평택RDC,충청남도 서산시
KH11315,1,1,칠곡RDC,경상남도 사천시
KH08124,1,1,평택RDC,경기도 성남시 분당구
KH05645,1,1,평택RDC,경기도 남양주시
3013918,1,1,평택RDC,서울특별시 양천구
KP13440,1,1,평택RDC,서울특별시 서초구
3019811,1,1,칠곡RDC,경상남도 창원시 마산회원구
3007987,1,1,칠곡RDC,경상남도 사천시
KH02414,1,1,계룡RDC,대전광역시 대덕구
3013100,1,1,칠곡RDC,경상남도 양산시
3016886,1,1,칠곡RDC,경상남도 양산시
KH09832,1,1,계룡RDC,전라남도 담양군
KP13688,1,1,계룡RDC,충청남도 서천군
KH10565,1,1,계룡RDC,세종특별자치시 세종특별자치시
KH09684,1,1,평택RDC,경기도 포천시
3020316,1,1,평택RDC,경기도 성남시 분당구
KH09792,1,1,계룡RDC,전라남도 목포시
KH11281,1,1,제천RDC,강원도 동해시
7404,1,1,칠곡RDC,부산광역시 강서구
KP11223,1,1,계룡RDC,광주광역시 서구
KP13439,1,1,계룡RDC,충청북도 청주시 흥덕구
KP13682,1,1,평택RDC,경기도 화성시
KH09241,1,1,제천RDC,강원도 평창군
KH01981,1,1,칠곡RDC,경상남도 창원시 마산합포구
7890,1,1,평택RDC,경기도 용인시 처인구
3013974,1,1,평택RDC,서울특별시 구로구
KP12888,1,1,평택RDC,충청남도 당진시
KH10046,1,1,평택RDC,서울특별시 성동구
KP11058,1,1,평택RDC,충청북도 진천군
KH01980,1,1,평택RDC,서울특별시 용산구
KP12476,1,1,평택RDC,경기도 광주시
KP13024,1,1,평택RDC,충청북도 진천군
KH11262,1,1,평택RDC,경기도 포천시
KH09654,1,1,칠곡RDC,경상남도 거제시
1689,1,1,계룡RDC,전라남도 담양군
KH01452,1,1,칠곡RDC,대구광역시 서구
KH01267,1,1,계룡RDC,전라남도 고흥군
3014486,1,1,계룡RDC,충청북도 청주시 청원구
KH11381,1,1,평택RDC,경기도 평택시
3756,1,1,계룡RDC,전라북도 완주군
5773,1,1,칠곡RDC,경상북도 경산시
KP13827,1,1,평택RDC,경기도 남양주시
KH02306,1,1,칠곡RDC,경상남도 창원시 마산회원구
KH09755,1,1,평택RDC,충청남도 예산군
KH11394,1,1,칠곡RDC,부산광역시 영도구
KH11149,1,1,칠곡RDC,대구광역시 북구
9139,1,1,평택RDC,인천광역시 남동구
10308,1,1,평택RDC,서울특별시 양천구
3006874,1,1,칠곡RDC,경상남도 밀양시
KH11163,1,1,칠곡RDC,경상남도 김해시
KP11471,1,1,제천RDC,강원도 강릉시
KH10792,1,1,평택RDC,경기도 수원시 영통구
10353,1,1,평택RDC,서울특별시 송파구
KH08545,1,1,평택RDC,경기도 동두천시
KP13433,1,1,계룡RDC,세종특별자치시 세종특별자치시
KH09841,1,1,제천RDC,강원도 화천군
KH09916,1,1,칠곡RDC,경상북도 고령군
4987,1,1,평택RDC,충청남도 당진시
KH11279,1,1,평택RDC,경기도 고양시 일산서구
KP12934,1,1,칠곡RDC,부산광역시 기장군
KH11312,1,1,제천RDC,강원도 횡성군
3014692,1,1,칠곡RDC,경상남도 통영시
9332,1,1,계룡RDC,대전광역시 서구
KH11258,1,1,제천RDC,강원도 강릉시
KP13185,1,1,칠곡RDC,경상남도 창녕군
KP13857,1,1,계룡RDC,광주광역시 광산구
KH11184,1,1,계룡RDC,전라북도 전주시 덕진구
KP11608,1,1,칠곡RDC,대구광역시 북구
,1,1,, 
